KNE,KishanGanj ,3 
NJP,New Jalpaiguri Junction ,8 
SGUJ,Siliguri Junction ,6 
NMZ,New Mal Junction ,3 
BNV,Binnaguri ,3 
HSA,Hasimara ,3 
APDJ,Alipur Duar Junction ,3 
AGC,Agra Cantt. ,6 
TDL,Tundla Junction ,5 
CNB,Kanpur Central ,10 
FTP,Fatehpur ,3 
SFG,SubedarGanj ,3 
ALD,Allahabad Junction ,10 
HW,Haridwar ,9 
LRJ,Laksar Junction ,4 
SPN,Shahjahanpur ,5 
HRI,Hardoi ,5 
RBL,Rae Bareli Junction ,4 
GNG,GauriGanj ,2 
AME,Amethi ,2 
PBH,Pratapgarh Junction ,3 
PRG,Prayag Junction ,3 
LTT,Lokmanya Tilak Terminus ,5 
TNA,Thane ,10 
IGP,Igatpuri ,4 
NK,Nasik Road ,4 
BAU,Burhanpur ,2 
KNW,Khandwa Junction ,5 
HD,Harda ,3 
TBN,Timarni ,3 
HBJ,Bhopal HabibGanj ,5 
BINA,Bina Junction ,6 
LAR,Lalitpur Junction ,3 
JHS,Jhansi Junction ,8 
MRPR,Mau Ranipur ,2 
HPP,Harpalpur ,2 
MBA,Mahoba Junction ,3 
BNDA,Banda ,2 
ATE,Atarra ,2 
CKTD,Chitrakutdham Karwi ,3 
MKP,Manikpur Junction ,4 
BLS,Balasore ,4 
BHC,Bhadrak ,4 
JJKR,Jajpur Keonjhar Road ,4 
CTC,Cuttack Junction ,5 
GNT,Guntur Junction ,7 
NRT,Narasaraopet ,3 
VKN,Vinukonda ,2 
KCD,Kurichedu ,1 
DKD,Donakonda ,3 
MRK,Markapur Road ,2 
TLU,Tarlupadu ,1 
CBM,Cumbum ,1 
GID,Giddalur ,2 
NDL,Nandyal Junction ,3 
BMH,Betamcherla ,2 
PDL,Pendekallu Junction ,2 
MKR,Maddikera ,2 
BAY,Ballari Junction ,Bellary) 
HPT,Hosapete Junction ,Hospet) 
GDG,Gadag Junction ,3 
CLR,Castle Rock ,3 
QLM,Kulem ,3 
